,c_cat,c_sub,kc,v,log_gamma,log_lambda,k0,filename,class
0,0.264740815,0.010682176,0.563298703,0.010853253,-1.394161178,-0.452433773,14.9601707,CV1.csv,D
1,0.000239624,0.00721803,48.4635576,0.003299924,1.478887548,-1.043991004,1.231718625,CV4.csv,K
2,0.004509285,0.000512854,10619.91068,0.008616777,-0.944113636,2.1544502,14.08419355,CV5.csv,KG
3,0.000132483,0.001109365,98809.97136,20.69537268,0.922914499,-1.789346129,1.216241206,CV6.csv,KG
4,9.721462693,0.452060627,0.003341923,0.143683215,-1.332534931,-2.236111438,4.805797693,CV9.csv,D
5,5.304994035,0.099978869,4327.111042,3.634560303,-1.724776681,2.209997544,97.45520629,CV13.csv,D
6,0.877884313,1.697556418,93.15268001,0.680486668,0.286386928,0.489379505,1.030409282,CV16.csv,KG
7,0.920632403,0.012990437,228.0726304,80.68229661,-1.850462511,-1.175052341,23.96561515,CV18.csv,D
8,0.010797521,0.22965665,0.237216206,0.017245287,1.32775495,-2.418635513,61.43157426,CV20.csv,KD
9,0.171108803,1.688539183,303.7479687,0.007614113,0.99423879,2.243732875,27.02404159,CV22.csv,KG
10,0.006119475,0.534192565,238.9913047,0.204087383,1.940983695,-0.735153428,61.00997322,CV25.csv,K
11,0.00034418,0.002611972,23.42071368,0.111040433,0.880183228,-2.729529215,9.648399205,CV26.csv,D
12,0.330022491,0.00891931,3.478107995,0.040579929,-1.568212268,-0.138858197,6.75728096,CV27.csv,D
13,0.00199699,0.850586066,533.859602,5.139383518,2.629342292,-2.273541514,26.0341713,CV28.csv,KS
14,0.046384779,0.04247124,0.030714076,0.011778736,-0.038280546,-2.507819255,36.09662068,CV29.csv,D
15,1.701793698,1.80108155,0.005745607,0.002976634,0.024626466,-1.073916107,34.40216833,CV31.csv,KG
16,1.947305502,0.026824186,0.003492611,0.001784533,-1.860907539,-1.009373793,17.14258236,CV39.csv,D
17,0.000110691,0.000107724,7.161173959,0.016019009,-0.011799993,-2.895972199,31.7827861,CV51.csv,D
18,0.022637185,0.005725269,37464.68148,0.57013562,-0.597026499,1.582032768,31.82270335,CV54.csv,KG
19,5.569835247,0.006889306,7.001651488,0.020975613,-2.907666882,1.67889466,69.57315738,CV59.csv,D
20,0.874905871,0.001901693,3144.561807,17.25269236,-2.662820991,0.612231071,8.052203362,CV62.csv,D
21,1.828701428,0.0122503,1012.893783,0.250274633,-2.173996096,2.278856359,1.533053868,CV65.csv,D
22,0.01555304,0.286807537,76.04139185,0.041163812,1.265775266,-0.132083748,2.976939566,CV66.csv,KG
23,0.074802827,0.000467052,3803.318178,0.301008701,-2.204552798,1.385068102,27.64039691,CV71.csv,D
24,2.07640352,2.233565115,4.999354769,3.958347636,0.031686861,-1.171721737,2.698251435,CV73.csv,KG
25,0.070150916,0.167392886,92.36082656,0.668552122,0.37770365,-0.604047632,48.90673198,CV76.csv,KG
26,0.006049301,3.031062612,15895.99543,0.002981094,2.699889727,2.918183778,64.02451837,CV79.csv,K
27,2.584082756,0.076997407,24035.64282,0.60854328,-1.525830317,3.418437172,24.99987666,CV81.csv,D
28,1.608662222,0.011915435,545.8175687,1.756634837,-2.13035497,1.108397365,19.079001,CV82.csv,D
29,0.821551424,0.000872274,60.72584658,0.001777344,-2.973981607,2.857803221,26.87743642,CV83.csv,D
30,0.020546371,1.4275467,0.008217971,0.001842077,1.841855197,-2.628241503,27.11069028,CV85.csv,KD
31,0.1230714,0.00191186,61.53850554,0.013325751,-1.808701098,1.164178889,22.98105528,CV88.csv,D
32,0.015565416,0.000101924,168.3393425,0.001007728,-2.183884352,1.824569312,1.124306616,CV91.csv,D
33,0.283230037,2.739895923,8.32914339,0.059746293,0.985594757,0.00599517,24.18737185,CV93.csv,KG
34,0.003607958,0.00010123,22833.53369,64.82046809,-1.551953864,-1.486311126,1.109202407,CV96.csv,D
35,0.017448965,0.05651435,44.2254148,1.093953464,0.510389066,-1.741990775,2.414499593,CV97.csv,KG
36,0.800660091,0.012814004,4.241767989,7.535171352,-1.795763315,-1.936531558,2.203434129,CV102.csv,D
37,0.033587595,0.013047206,0.003682239,0.001610359,-0.41066138,-2.705065442,4.13838369,CV109.csv,D
38,0.122293338,5.948057798,4.627334718,0.007387978,1.686972382,0.293774611,3.315029565,CV112.csv,K
39,0.009621242,0.687806712,0.428622938,0.007843767,1.854235283,-1.869651675,1.21213548,CV117.csv,KS
40,0.002853778,0.000306267,884.5238073,10.52885076,-0.96931952,-2.210684784,58.5141396,CV118.csv,D
41,1.093850969,0.003933766,0.705507897,0.024415246,-2.444149675,-0.090634582,69.37466784,CV121.csv,D
42,0.008943446,5.604735413,33.21649469,0.804571968,2.797050205,-2.023139704,5.271945014,CV123.csv,KS
43,0.576634629,0.010842368,87660.84548,8.825491278,-1.72577656,2.167533968,9.040637943,CV126.csv,D
44,7.532394589,2.722494201,138.9780788,0.004892398,-0.441966099,3.739924086,9.021759639,CV127.csv,KT
45,0.000647694,0.000158697,179.2336268,0.242716399,-0.610801555,-1.91074311,22.52635343,CV135.csv,D
46,3.072322607,1.926693085,96.3870987,1.970852426,-0.202654278,0.586398101,2.650448941,CV136.csv,KG
47,7.24256881,9.064023661,13371.10046,0.392733899,0.097428401,3.801527875,7.902776167,CV139.csv,KT
48,0.011363689,0.010307897,1354.477224,25.98905702,-0.042349288,-1.817932987,2.70125159,CV142.csv,D
49,0.08297752,0.624789994,1940.238818,0.050628629,0.876773617,1.911985958,14.23039214,CV143.csv,KG
50,2.359693355,0.00353453,13.43043837,0.026705631,-2.824523942,1.483909403,20.75398121,CV144.csv,D
51,0.001635694,0.668429722,236.8749964,0.008476573,2.611353685,0.069567441,2.53043126,CV145.csv,K
52,1.015044787,5.530384433,0.137231724,0.012768677,0.736270116,-0.552639703,2.04457122,CV147.csv,KG
53,0.09020981,0.052144722,1.421361719,0.004516593,-0.238043412,-0.13728612,5.443162394,CV150.csv,KG
54,0.241203326,0.044291561,85979.67277,4.481202658,-0.736062305,2.074950978,95.02978696,CV153.csv,KG
55,0.000560595,0.076149795,23.58393114,0.122168998,2.133019332,-2.556128927,10.14342743,CV158.csv,KD
56,9.448298318,0.213602751,822.3640282,3.729270428,-1.645746756,1.728360308,13.21229517,CV159.csv,D
57,0.000447987,0.177540419,50117.52288,0.005428818,2.598032063,2.026115944,92.39466327,CV163.csv,K
58,0.004021527,0.025504212,0.048865014,0.002556477,0.802220966,-2.704686509,11.4050661,CV164.csv,D
59,0.900576103,3.297385785,16.61095732,0.013660061,0.563649343,1.44902892,67.85984203,CV170.csv,KG
60,0.023224277,0.005230438,36.00959282,0.274555227,-0.6474041,-1.106702822,1.142125419,CV177.csv,D
61,0.204687067,0.011429944,0.010991862,0.031640858,-1.253046293,-2.738520088,2.365215911,CV179.csv,D
62,4.975671859,0.086958636,2521.287173,0.047076146,-1.757539012,3.835239626,25.42631871,CV180.csv,D
63,0.006393295,0.505645769,24.21756325,0.001410606,1.89812163,0.450015867,5.400994847,CV182.csv,K
64,0.000771562,0.088801706,6539.662729,9.312469764,2.061050615,-1.856572346,7.390588034,CV183.csv,KS
65,1.208258874,0.23144153,31.66224916,2.810372673,-0.717718701,-0.456495675,35.57419665,CV186.csv,KG
66,0.112094804,0.024961043,0.608562615,0.004339057,-0.652322756,-0.39393814,18.79032665,CV191.csv,KG
67,0.02573398,0.002665299,831.1165848,2.28454774,-0.984760937,-0.619064855,44.06504692,CV197.csv,D
68,0.017469501,0.263695035,0.119261718,0.004199235,1.178821449,-1.894822159,7.295362642,CV198.csv,KD
69,0.002363015,0.000102815,246.7203257,1.169248615,-1.361410478,-1.892669014,6.367012362,CV201.csv,D
70,7.844381752,0.041889438,10499.67514,34.70562443,-2.272454188,1.784901203,1.245621287,CV206.csv,D
71,1.279365083,0.003011679,254.5532607,0.019639501,-2.628185813,2.629209194,13.4505445,CV209.csv,D
72,0.51777932,0.000641404,10852.79381,0.273092633,-2.907013352,2.722942751,5.095486656,CV211.csv,D
73,1.534050867,0.022447977,0.027905548,0.007999727,-1.83466256,-0.861978367,25.54995548,CV217.csv,D
74,0.001897059,0.000144049,98.22419267,0.280099423,-1.11956991,-1.767446359,5.912716718,CV221.csv,D
75,0.012173815,0.082296678,18.48226494,0.017125433,0.829955592,-0.471893181,2.128676543,CV222.csv,KG
76,0.687348133,4.486627091,23734.90419,0.737578221,0.814743217,2.754322638,11.3758021,CV225.csv,KT
77,0.004738249,1.569803087,55172.8106,0.001188903,2.520227336,3.751763164,5.338298579,CV230.csv,K
78,0.043160299,0.170076246,27.77293585,27.20481731,0.595559217,-2.946373096,4.400945016,CV231.csv,D
79,0.485073787,0.000545891,3.385854569,25.34962819,-2.948701541,-2.778929004,6.183493098,CV236.csv,D
80,1.53191835,0.166577094,205.9086011,2.124532621,-0.963620336,0.581213186,7.313794766,CV238.csv,KG
81,0.005230648,4.381423587,1346.135289,0.377881036,2.923059725,-0.320144388,1.322986046,CV240.csv,KS
82,0.022531446,1.416364164,46.51977039,1.147358709,1.798385864,-1.629706105,4.290593561,CV243.csv,KS
83,0.262821644,1.793658791,0.007973462,0.00273483,0.834078703,-1.706055777,18.45197261,CV244.csv,KG
